x,y,z,LR
-24.571438,32.83706,-12.067812,L
-18.721128,35.91245,-23.141605,L
-22.248013,59.45171,-16.032024,L
-13.824654,49.157135,-24.250729,L
-9.613634,39.2932,-22.205141,L
-1.1864064,35.977905,-28.885977,L
-5.742547,28.957998,-15.103983,L
-50.656715,8.705834,8.782587,L
-55.20233,15.351812,6.623128,L
-47.99445,18.843985,8.847402,L
-44.189888,28.62177,13.288918,L
-54.47184,27.21135,5.092923,L
-41.73878,24.351994,4.857065,L
-36.7425,28.14983,1.6536118,L
-36.762505,30.672613,-2.8048697,L
-29.792835,26.4237,-0.27800733,L
-67.00518,-18.80049,-0.037615336,L
-60.207226,-14.746248,-7.2850366,L
-61.55121,-14.841005,4.172153,L
-51.0111,-12.065392,4.196584,L
-45.083755,-18.046036,-4.217408,L
-35.28278,-22.864628,8.802869,L
-38.168724,-20.282894,1.4674965,L
-39.9498,-15.901344,-5.7320266,L
-41.43084,-4.6538363,-0.5394511,L
-34.394653,13.431539,2.9025893,L
-58.931164,-44.902546,39.861305,L
-60.509735,-45.43324,30.183136,L
-57.013977,-46.851818,23.418734,L
-51.551598,-34.592846,22.540096,L
-48.037487,-41.635944,22.362316,L
-59.187073,-39.683575,16.77862,L
-62.711872,-32.304268,11.736301,L
-65.63184,-25.077658,7.803193,L
-60.144432,-29.468084,-3.4188519,L
-41.272755,-82.99562,7.7198067,L
-45.26315,-81.36395,-0.20669234,L
-50.241707,-74.10802,6.0401106,L
-43.3661,-65.38067,5.139116,L
-54.52492,-63.08378,5.157606,L
-41.24145,-57.450798,15.581058,L
-51.327656,-56.66343,10.628732,L
-58.5791,-52.910316,4.288369,L
-53.992775,-43.633934,0.12427896,L
-50.81199,-36.72403,-1.7743477,L
-23.518436,-64.834564,48.842106,L
-22.734945,-62.94512,35.991585,L
-27.824787,-68.88898,25.541431,L
-31.510315,-68.19059,45.085712,L
-29.66737,-75.38231,31.832367,L
-31.669397,-79.78219,17.239185,L
-36.940422,-89.28058,15.684694,L
-37.01484,-82.65604,8.837816,L
-28.130249,-87.02898,2.167398,L
-18.289341,-61.59301,14.493393,L
-19.655554,-71.28497,6.194331,L
-14.29579,-66.364746,8.746735,L
-2.6020894,-72.50126,10.085549,L
-1.0118287,-85.88655,10.859629,L
-3.6471775,-82.35122,33.804596,L
-5.6345677,-87.815575,19.767864,L
-3.7638168,-99.54738,8.67924,L
-11.735705,-104.16911,3.0802097,L
-23.117825,-98.16481,2.2072904,L
-14.695813,-23.978678,39.487034,L
-12.052111,-29.822361,41.632263,L
-1.8880478,-34.977047,42.824287,L
-9.064162,-48.85517,42.705345,L
-13.187772,-45.507637,35.77485,L
-7.862671,-45.093742,33.36726,L
-7.348325,-54.064808,25.179234,L
-4.862954,-64.28981,15.714503,L
-6.292093,-60.949055,7.919722,L
-2.9943998,-3.782058,-1.4728987,L
-1.3493872,1.559551,5.006265,L
-2.9980242,-7.124366,9.742127,L
-3.2845142,-20.86474,12.6209,L
-0.28004766,-7.790923,26.374882,L
-0.4856279,-21.713715,19.476318,L
-0.29015785,-32.87269,12.033822,L
0.12620384,-42.98078,11.646365,L
-3.7528892,-49.314518,9.9676695,L
-27.344238,15.727511,-16.80872,L
-29.563044,4.721855,-18.157007,L
-27.971033,-1.1570818,-21.139452,L
-19.504498,-0.3456306,-14.762884,L
-28.180792,-7.775252,-22.179525,L
-23.84451,-5.2422137,-26.009237,L
-17.980244,-6.0815997,-29.412374,L
-19.663082,-15.988317,-32.587864,L
-32.979664,-15.949115,-34.010456,L
-28.411749,-25.634436,-30.230005,L
-52.455383,-12.810544,-15.400505,L
-54.530987,-8.09906,-21.810785,L
-59.681847,-5.7657194,-30.70156,L
-51.740547,13.947199,-25.194027,L
-49.34043,3.4884076,-37.769924,L
-48.61689,-7.959848,-35.42912,L
-43.590546,-10.632348,-45.507042,L
-37.079716,-9.92219,-35.839676,L
-40.311554,-18.357319,-25.17151,L
-45.719048,-74.22726,-5.045885,L
-41.369102,-69.26707,-8.045792,L
-42.99382,-59.921497,-11.102203,L
-59.81018,-54.221962,-16.489048,L
-48.42046,-51.484356,-16.444094,L
-43.66605,-48.324615,-16.679552,L
-43.499428,-40.377632,-24.003414,L
-42.776783,-30.766388,-23.499847,L
-34.234993,-32.296764,-29.293573,L
-15.493042,-73.840126,4.4564505,L
-1.6824119,-68.43759,3.957383,L
-11.38498,-69.97829,-5.389044,L
-9.300085,-86.12984,-14.7631,L
-15.893797,-74.27985,-13.034002,L
-22.111376,-59.372345,-8.861666,L
-30.192554,-53.44407,-9.315248,L
-26.29918,-41.461754,-17.525442,L
-34.520103,-32.05102,-19.136723,L
0.9919158,-20.718403,-10.414879,L
-11.610342,-23.406628,-12.127613,L
-27.79423,-29.410437,-9.493457,L
-26.114391,-38.406284,2.3433805,L
-33.418163,-37.965828,-3.922507,L
-36.95829,-34.162735,-11.712329,L
-25.206358,-26.539682,-13.9536,L
-26.354086,-32.700134,-22.97866,L
-42.314697,-16.26388,60.615154,L
-42.168026,-8.778696,63.018993,L
-39.49235,-11.669359,66.15896,L
-38.32602,-24.047157,57.10744,L
-39.550106,-19.65722,54.39193,L
-34.17742,-24.782753,61.82586,L
-32.50018,-26.047474,55.33178,L
-36.833935,-18.218128,69.31132,L
-32.26726,-23.940672,66.76436,L
-33.688805,-10.682762,65.26906,L
-24.698948,50.091576,24.201557,L
-22.408924,52.8495,28.612911,L
-26.831177,46.95162,30.713404,L
-25.103603,44.666603,19.563255,L
-25.087732,51.167778,19.141705,L
-25.727451,38.601032,22.502462,L
-27.643808,41.46729,18.87462,L
-57.83202,-3.5832984,5.280581,L
-55.02555,-2.139817,4.012887,L
-59.96758,1.9590607,4.90186,L
-61.47945,-3.9887052,8.30388,L
-59.839928,-7.9191637,6.479455,L
-52.529167,-53.110027,45.908318,L
-51.804302,-52.30152,39.798347,L
-53.979687,-50.64975,45.403797,L
-47.346516,-50.01951,45.13155,L
-49.891712,-53.80123,46.201294,L
-13.10232,-70.99569,57.977844,L
-13.334384,-70.10042,50.758415,L
-16.886639,-68.74337,54.00871,L
-13.145831,-64.824234,64.260574,L
-8.919163,-67.76015,62.00335,L
-10.108661,-5.299464,44.63382,L
-10.188583,-7.9173765,43.74641,L
-11.01838,-11.445566,44.57202,L
-2.8929882,13.128479,-7.783315,L
-1.9386141,6.225505,-9.073063,L
-1.7705925,3.0787182,-6.3043227,L
-34.565514,21.978367,-5.637193,L
-39.06914,17.420109,-8.553303,L
-29.973825,19.905634,-8.073225,L
-49.882626,-26.803905,-6.8863807,L
-49.375484,-25.968418,-9.278319,L
-51.153145,-22.274248,-9.096149,L
-31.253544,-90.50955,-4.658035,L
-33.23238,-92.804306,-7.6060715,L
-39.398994,-89.56569,-4.228241,L
-17.53859,-59.212624,5.8024087,L
-22.246328,-59.918938,4.635051,L
-23.643276,-63.988293,5.2171955,L
-57.98407,-4.8330226,36.44494,L
-54.911896,1.8232248,37.32547,L
-56.021576,-0.28048155,40.03266,L
-34.29471,7.9705415,59.19633,L
-38.583736,14.685089,55.89145,L
-33.324944,15.881277,53.627026,L
-30.911627,20.239334,48.808727,L
-31.096064,13.635691,49.05147,L
-46.013172,-30.981594,47.0108,L
-46.120235,-28.544378,43.33262,L
-50.427742,-26.714972,50.307365,L
-47.31652,-12.109361,36.02337,L
-43.921837,-11.946424,31.217676,L
